#,song_id,echonest_id,date,title,artist,rank,exrank,peak,weeksOn,writer,producer,promotion,tempo,key,loudness,duration,energy,danceability,mode,year
14265,60644,SOAFNWM12A8C134883,6/10/1978,Hot Child In The City,Nick Gilder,88,0,1,31,,,,110.884,4,-5.684,215.09179,0.52538139,0.819969478,1,1978
6577,77602,SOAGAPB12A67FFB314,12/9/1972,Crocodile Rock,Elton John,73,0,1,17,,,,158.623,7,-9.77,249.02485,0.748824824,0.541982519,1,1972
31242,23819,SOAGJHD12AB017DFD5,3/31/1962,Soldier Boy,The Shirelles,34,0,1,14,,,n/a,97.492,10,-12.017,159.97342,0.345746518,0.642545135,1,1962
39950,107936,SOAGXAJ12A58A77D01,3/11/1989,"Wind Beneath My Wings (From ""Beaches"")",Bette Midler,87,97,1,29,"L.Henley,J.Silbar",A.Mardin,Atlantic,123.664,10,-8.31,293.92934,0.358686912,0.485098801,1,1989
1911,75170,SOAHWCR12A8C13935C,1/1/1972,American Pie - Parts I & II,Don McLean,2,0,1,19,,,,139.124,4,-9.729,246.282,0.570070806,0.546233574,0,1972
28815,24386,SOAIAAF12A8C138374,6/23/1962,Roses Are Red (My Love),Bobby Vinton,16,0,1,15,,,n/a,38.683,5,-11.947,162.0371,0.279375283,0.526221135,1,1962
36943,70418,SOAIQFV12A8C142C91,3/9/1974,TSOP (The Sound Of Philadelphia),"MFSB,The Three Degrees",42,0,1,18,,,,114.558,10,-7.714,348.62975,0.69892633,0.546530198,1,1974
36914,105385,SOAIUUT12A8C13D775,3/18/2000,Try Again,Aaliyah,59,0,1,31,"T.Mosley,S.Garrett",Timbaland,Virgin,124.08,6,-6.502,284.15955,0.612837044,0.828477279,0,2000
4020,22345,SOAJHWG12A8C137BC5,9/7/1963,Blue Velvet,Bobby Vinton,4,0,1,15,,,n/a,81.328,10,-13.072,167.33995,0.244964717,0.355661787,1,1963
39922,30751,SOAJRON12AB0184DD2,12/5/1960,Will You Love Me Tomorrow,The Shirelles,58,0,1,19,,,n/a,138.455,0,-11.305,159.73832,0.300252665,0.526981115,1,1960
24326,89269,SOAJWOG12A58A79653,1/13/2007,My Love,Justin Timberlake Featuring T.I.,6,5,1,17,"J.Timberlake,T.V.Mosley,N.Hills,C.J.Harris","Timbaland,J.Timberlake,Danja",Jive,122.955,7,-5.669,223.81669,0.636229039,0.640152452,1,2007
33645,33436,SOAKHIB12B0B8086DB,12/11/1999,Thank God I Found You,Mariah Carey Featuring Joe ,82,0,1,20,"M.Carey,J.Harris III,T.Lewis","J.Jam,T.Lewis,M.Carey",Columbia,122.735,10,-7.117,257.2273,0.353936368,0.193692476,1,1999
36401,110765,SOAKNVX12A58A7AC66,4/16/1988,Together Forever,Rick Astley,62,0,1,18,"Stock,Aitken,Waterman","Stock,Aitken,Waterman",RCA,115.162,0,-7.173,200.95955,0.904930903,0.64193515,1,1988
19796,82706,SOAKYXY12AF729FBF3,11/21/1970,Knock Three Times,Tony Orlando,90,0,1,18,,,,127.237,11,-13.342,187.97669,0.666477697,0.699872682,1,1970
34885,53147,SOALJDD12A58A79DA3,7/20/1991,The Promise Of A New Day,Paula Abdul,40,0,1,16,"P.Lord,S.St.Victor,V.J.Smith,P.Abdul","V.J.Smith,P.Lord",Virgin,119.853,6,-8.244,273.03138,0.80272987,0.728086111,1,1991
38345,109483,SOALQKH12AB017ED98,10/14/1989,We Didn t Start The Fire,Billy Joel,58,0,1,19,B.Joel,"M.Jones,B.Joel",Columbia,149.545,2,-6.716,287.55546,0.932216492,0.435229446,1,1989
12781,5802,SOALWUU12AF729FF27,8/31/1968,Harper Valley P.T.A.,Jeannie C. Riley,7,0,1,13,,,n/a,119.113,4,-17.321,196.25751,0.451497546,0.780399106,1,1968
2552,76468,SOALZGH12A8C132F57,7/1/1972,Baby Don't Get Hooked On Me,Mac Davis,77,0,1,18,,,,163.026,9,-16.403,185.10322,0.678433167,0.389984975,1,1972
30134,55358,SOANAXA12A58A788C7,5/26/1990,She Ain t Worth It,Glenn Medeiros Featuring Bobby Brown,38,50,1,18,"A.Armato,I.Prince,B.Brown","D.Diante,I.Prince",MCA,102.531,7,-7.619,218.90567,0.917402572,0.711512474,0,1990
19659,15374,SOANBHN12AF72A552A,12/31/1966,Kind Of A Drag,The Buckinghams,90,0,1,13,,,n/a,139.769,7,-11.459,124.18567,0.622658472,0.558613705,1,1966
24171,18648,SOANHWV12A58A77066,4/4/1964,My Guy,Mary Wells,50,0,1,15,,,n/a,136.688,11,-10.647,165.14567,0.713792539,0.604207433,1,1964
38974,12585,SOAONXV12A58A7C85B,4/9/1966,When A Man Loves A Woman,Percy Sledge,100,0,1,13,,,n/a,95.899,1,-12.641,177.37098,0.152604483,0.445694639,1,1966
26518,77190,SOAORHB12AF72A1D07,10/14/1972,Papa Was A Rollin' Stone,The Temptations,83,0,1,16,,,,121.607,1,-13.051,419.7873,0.52911711,0.841506968,1,1972
33603,25755,SOAORPC12C106CF482,12/29/1962,Telstar,The Tornadoes,1,0,1,16,,,n/a,144.887,9,-13.543,198.60853,0.655164717,0.315679649,1,1962
9902,68599,SOAOYEO12A58A79F95,6/28/1975,Fallin' In Love,"Hamilton, Joe Frank & Reynolds",79,0,1,17,,,,87.324,6,-12.357,189.72689,0.590536802,0.548789723,0,1975
35247,29834,SOAOZAI12AB0189823,8/1/1960,The Twist,Chubby Checker,49,0,1,18,,,n/a,150.066,4,-7.474,190.27546,0.567816308,0.468083657,1,1960
20889,107977,SOAPBOU12C106D2879,3/18/1989,Like A Prayer,Madonna,38,0,1,16,"Madonna,P.Leonard","Madonna,P.Leonard",Warner Bros.,112.056,5,-15.351,291.34322,0.624980414,0.630788527,1,1989
22447,67467,SOAPBRS12AC468AB71,1/18/1975,Lovin' You,Minnie Riperton,80,0,1,18,,,,122.686,9,-13.66,222.92853,0.211446867,0.375242058,1,1975
25427,71296,SOAPDEY12A81C210A9,7/13/1974,Nothing From Nothing,Billy Preston,70,0,1,18,,,,102.79,0,-8.639,157.75302,0.671855569,0.800099577,1,1974
13163,28401,SOAPTQN12AB0189B3C,1/11/1960,Heartaches By The Number,Guy Mitchell,10,0,1,20,,,n/a,164.2,7,-10,158.17098,0.633536484,0.363407661,1,1960
23919,30198,SOAPVKC12A58A7C91C,9/19/1960,Mr. Custer,Larry Verne,4,0,1,13,,,n/a,107.663,11,-14.928,185.33832,0.407696255,0.77981038,0,1960
18195,78496,SOAPWFJ12AF72A49C7,4/10/1971,Indian Reservation (The Lament Of The Cherokee Reservation Indian),Paul Revere & The Raiders,94,0,1,22,,,,131.742,2,-16.355,172.19873,0.504512376,0.601371555,1,1971
3746,32166,SOAPXPA12AF72A857E,6/19/1999,"Bills, Bills, Bills",Destiny s Child,84,0,1,20,"K.Burruss,B.Knowles,K.Rowland,L.Luckett,K.Briggs",She kspere,Columbia,124.024,11,-4.914,256.10404,0.626519587,0.612458666,0,1999
27269,14606,SOAQSEG12AB0189D18,9/17/1966,Poor Side Of Town,Johnny Rivers,90,0,1,15,,,n/a,86.002,4,-8.923,269.11302,0.359900384,0.653376542,1,1966
15588,114257,SOARJMV12A8C14008E,8/15/1987,I Just Can t Stop Loving You,Michael Jackson With Siedah Garrett,16,37,1,14,M.Jackson,Q.Jones,Epic,100.143,5,-9.056,251.16689,0.341254462,0.642722736,1,1987
10429,110820,SOAROQD12AF72AA3A8,4/23/1988,Foolish Beat,Debbie Gibson,57,0,1,20,D.Gibson,D.gibson,Atlantic,156.018,10,-8.775,274.41587,0.289378531,0.491870304,0,1988
8023,54203,SOASCVM12AB017E49E,12/21/1991,Don t Let The Sun Go Down On Me,George Michael/Elton John,19,34,1,20,"E.John,B.Taupin",G.Michael,Columbia,137.271,0,-8.102,348.05506,0.507715402,0.448848512,1,1991
19090,49836,SOASETK12AB0185550,4/11/1992,Jump,Kris Kross,12,61,1,21,J.Dupri,J.Dupri,Columbia,206.551,10,-10.281,232.35873,0.832586979,0.689594526,0,1992
20145,35502,SOASFBV12A6701C1F7,10/3/1998,Lately,Divine,20,22,1,27,"W.Baker,C.Kelly","J.Howcott,D.Parks",Red Ant,158.075,6,-8.728,228.10077,0.700855911,0.596727057,0,1998
19529,132522,SOASKQQ12A8C145F5A,12/20/1980,Keep On Loving You,REO Speedwagon,53,0,1,28,,,,88.459,7,-7.391,198.73914,0.575693227,0.446637909,0,1980
12860,67703,SOASOMW12B0B80637B,2/22/1975,Have You Never Been Mellow,Olivia Newton-John,5,0,1,16,,,,122.276,0,-12.628,212.74077,0.444406915,0.492748391,1,1975
12639,13835,SOASQJV12A8C13448A,6/4/1966,Hanky Panky,Tommy James,75,0,1,12,,,n/a,121.872,2,-16.896,188.1073,0.501433543,0.719014916,1,1966
29341,119465,SOASVPZ12AF72A43AD,8/17/1985,Saving All My Love For You,Whitney Houston,53,0,1,22,"M.Masser,G.Goffin",M.Masser,Arista,99.538,6,-10.232,237.37424,0.334567596,0.595664805,0,1985
25684,19729,SOATGGO12AB017F3D6,9/5/1964,"Oh, Pretty Woman",Roy Orbison,27,0,1,15,,,n/a,126.536,11,-5.992,176.79628,0.594388007,0.674416861,0,1964
38481,3393,SOATSEI12A8C13C43C,9/27/1969,Wedding Bell Blues,The 5th Dimension,67,0,1,15,,,n/a,99.813,4,-11.262,207.96036,0.288764465,0.418862225,0,1969
28998,26269,SOAUWRT12A58A7A5C9,3/20/1961,Runaway,Del Shannon,47,0,1,17,,,n/a,144.135,7,-7.475,147.1473,0.675429233,0.696292558,0,1961
7680,345,SOAVWFY12AF72A3BA2,2/15/1969,Dizzy,Tommy Roe,39,0,1,15,,,n/a,101.152,11,-14.935,182.02077,0.557424666,0.746320717,1,1969
20264,61806,SOAWCRG12C0DD02D5B,11/18/1978,Le Freak,Chic,37,0,1,25,,,,122.864,9,-17.229,252.31628,0.80496832,0.847944434,1,1978
36638,26675,SOAWPYZ12A58A7A581,5/15/1961,Tossin' And Turnin',Bobby Lewis,55,0,1,23,,,n/a,142.426,0,-6.667,153.83465,0.777966592,0.548727708,1,1961
38543,57013,SOAWZOS12AF72A575A,1/20/1979,What A Fool Believes,The Doobie Brothers,73,0,1,20,,,,120.913,1,-14.877,223.9473,0.559167073,0.779522697,0,1979
14946,76980,SOAXRDJ12AB017BDF0,9/9/1972,I Can See Clearly Now,Johnny Nash,84,0,1,20,,,,123.827,2,-13.044,164.80608,0.516806231,0.687582836,1,1972
5449,125146,SOAYHHZ12AB018AF9F,12/29/1984,Careless Whisper,Wham!,37,37,1,21,"G.Michael,A.Ridgeley",G.Michael,Columbia,86.99,2,-6.716,283.03628,0.414215892,0.727472805,0,1984
29462,122251,SOAYVTQ12AF729C222,11/16/1985,"Say You, Say Me (Title Song From White Nights)",Lionel Richie,32,40,1,20,L.Richie,"L.Richie,J.Carmichael",Motown,127.883,8,-9.169,241.6322,0.438193335,0.626020578,1,1985
13008,24945,SOAZOPG12A8C1401A7,9/8/1962,He's A Rebel,The Crystals,98,0,1,18,,,n/a,118.791,6,-15.415,135.26159,0.675591613,0.70667393,1,1962
20874,11895,SOAZVOO12AF72A53C1,1/1/1966,Lightnin' Strikes,Lou Christie,82,0,1,15,,,n/a,127.604,7,-11.905,169.97832,0.598760647,0.649630927,0,1966
10684,73087,SOAZXMI12AF72A16DE,3/17/1973,Frankenstein,Edgar Winter,97,0,1,20,,,,95.63,5,-6.138,480.1824,0.840909436,0.402560163,1,1973
17907,83473,SOBADEB12AB018275F,3/6/2010,Imma Be,The Black Eyed Peas,1,3,1,12,"W.Adams,A.Pineda,J.Gomez,S.Ferguson,K.Harris,J.Tankel,D.Foder,T.Brenneck,M.Deller","K.Harris,will.i.am",Interscope,81.086,5,-6.82,257.64526,0.521699107,0.737375014,0,2010
33994,75686,SOBAHCC12A6D4F7E0F,3/11/1972,The Candy Man,"Sammy Davis, Jr.,Mike Curb Congregation",97,0,1,21,,,,131.32,1,-11.598,192.9922,0.612864826,0.633550283,1,1972
13725,20618,SOBAXIF12A58A807F2,1/5/1963,Hey Paula,Paul & Paula,53,0,1,15,,,n/a,108.859,7,-13.374,147.06893,0.309477342,0.412126781,1,1963
15678,113011,SOBBGQG12A58A78915,2/21/1987,I Knew You Were Waiting (For Me),Aretha Franklin ,59,0,1,17,"Climie,Morgan",Narada,Arista,107.9,9,-12.92,241.08363,0.769097208,0.69337058,1,1987
11405,33966,SOBBLUA12AB0185498,2/28/1998,Gettin' Jiggy Wit It,Will Smith,3,0,1,32,"W.Smith,S.J.Barnes,B.Edwards,N.Rodgers,J.Robinson","Poke & Tone,L.E.S.",Columbia,107.829,10,-7.026,199.65342,0.921066429,0.914194637,0,1998
17560,59780,SOBBPHB12C106CF530,2/11/1978,If I Can't Have You,Yvonne Elliman,65,0,1,22,,,,108.615,11,-18.56,178.07628,0.65051021,0.583578084,1,1978
5617,127435,SOBBVUS12AF72A7387,1/2/1982,Centerfold,The J. Geils Band,11,0,1,25,,,,114.502,7,-6.384,289.77587,0.865962198,0.783549294,1,1982
22223,68164,SOBCKPM12A6D4FD13C,4/26/1975,Love Will Keep Us Together,Captain & Tennille,86,0,1,23,,,,130.244,4,-8.353,203.7024,0.576358989,0.668236013,1,1975
2937,73349,SOBCWZJ12A8C1457B0,4/28/1973,"Bad, Bad Leroy Brown",Jim Croce,69,0,1,22,,,,151.907,7,-9.47,169.69098,0.541697528,0.692243419,1,1973
34529,81411,SOBCYLD12B20E5E46A,5/23/1970,The Long And Winding Road,The Beatles,35,0,1,10,,,,61.882,3,-12.287,217.7824,0.274688628,0.266155027,1,1970
16932,69634,SOBDAUU12A8C138F31,11/15/1975,I Write The Songs,Barry Manilow,48,0,1,20,,,,78.182,9,-6.281,295.20934,0.556634673,0.279877946,1,1975
2534,64205,SOBDKJM12A8C13A182,10/15/1977,Baby Come Back,Player,68,0,1,32,,,,156.515,5,-10.377,213.36771,0.532447188,0.6372919,0,1977
32232,13629,SOBDRVV12AF72A6B4C,5/7/1966,Strangers In The Night,Frank Sinatra,90,0,1,15,,,n/a,89.82,4,-8.353,134.922,0.457737142,0.315456267,1,1966
296,81668,SOBDVNT12AF72A6814,6/27/1970,(They Long To Be) Close To You,Carpenters,37,0,1,17,,,,88.484,8,-16.144,222.9024,0.276581936,0.548221621,1,1970
26863,72447,SOBDXPT12A8C145704,12/21/1974,Pick Up The Pieces,AWB (Average White Band),39,0,1,17,,,,107.746,10,-8.62,239.56853,0.794337113,0.731039915,0,1974
28176,62361,SOBDYQY12A8C137C80,1/29/1977,Rich Girl,Daryl Hall & John Oates,71,0,1,20,,,,83.529,0,-13.363,146.75546,0.616883845,0.687680375,1,1977
18283,116317,SOBELKV12AF72A31F9,5/31/1986,Invisible Touch,Genesis,45,0,1,17,"P.Collins,M.Rutherford,A.Banks","Genesis,H.Padgham",Atlantic,130.952,9,-6.843,335.35955,0.81373002,0.611217109,1,1986
39846,111684,SOBEXOR12AF72A063A,8/20/1988,"Wild, Wild West",The Escape Club,94,0,1,27,The Escape Club,C.Kimsey,Atlantic,139.037,1,-5.152,244.89751,0.801365262,0.71059299,0,1988
35649,12205,SOBGDGX12A6D4F531E,2/12/1966,These Boots Are Made For Walkin',Nancy Sinatra,15,0,1,14,,,n/a,165.579,11,-13.815,166.08608,0.543287229,0.604724464,0,1966
36120,72879,SOBGFMJ12A58A7FEE4,2/17/1973,Tie A Yellow Ribbon Round The Ole Oak Tree,Tony Orlando,80,0,1,23,,,,178.159,5,-12.82,206.34077,0.624123898,0.397053674,1,1973
12591,17069,SOBGLMT12A8AE45F3D,8/21/1965,Hang On Sloopy,The McCoys,67,0,1,14,,,n/a,115.273,0,-12.602,231.88853,0.676245905,0.727773469,1,1965
33881,12148,SOBGNYN12A8C1421FB,2/5/1966,The Ballad Of The Green Berets,SSgt Barry Sadler,87,0,1,13,,,n/a,168.645,0,-12.493,146.38975,0.363857782,0.605591534,1,1966
37403,62788,SOBGVQA12AF729E31C,4/2/1977,Undercover Angel,Alan O'Day,98,0,1,25,,,,102.98,8,-10.477,217.52118,0.593354825,0.653590944,1,1977
26319,20916,SOBHGNO12A6D4F9A1A,2/16/1963,Our Day Will Come,Ruby & The Romantics,53,0,1,13,,,n/a,92,8,-15.456,154.04363,0.60077809,0.553632666,1,1963
16181,56428,SOBHSUL12A8C13A439,10/27/1990,I m Your Baby Tonight,Whitney Houston,29,42,1,19,"L.A.Reid,Babyface","L.A.Reid,Babyface",Arista,165.244,1,-3.472,299.07546,0.841620288,0.656120382,1,1990
5690,18936,SOBHTUF12AF72A6F3B,5/16/1964,Chapel Of Love,The Dixie Cups,14,0,1,13,,,n/a,122.382,4,-14.391,168.95955,0.496359285,0.576209106,0,1964
24109,22123,SOBIQAI12A58A790D9,8/3/1963,My Boyfriend's Back,The Angels,75,0,1,14,,,n/a,135.694,3,-9.27,132.77995,0.856285923,0.861258816,1,1963
12430,111775,SOBISRU12AB0181736,9/3/1988,Groovy Kind Of Love,Phil Collins,52,0,1,25,"T.Wine,C.Bayer Bacharach","P.Collins,A.Dudley",Atlantic,144.001,2,-9.067,208.3522,0.170056946,0.470334203,1,1988
19901,122514,SOBJGTV12A8AE47DDD,12/21/1985,Kyrie,Mr. Mister,61,0,1,20,"R.Page,S.George,J.Lang","Mr.Mister,P.Devilliers",RCA,89.893,0,-7.333,265.29914,0.650365913,0.499045749,1,1985
36199,74827,SOBJMAT12AB018CF34,11/17/1973,Time In A Bottle,Jim Croce,79,0,1,15,,,,135.095,2,-13.578,145.26649,0.292160998,0.49536002,1,1973
9706,118790,SOBJQOM12A8C144504,5/11/1985,Everytime You Go Away,Paul Young,70,0,1,23,D.Hall,L.Latham,Columbia,165.859,5,-9.192,257.98485,0.630160708,0.567667055,1,1985
19413,78100,SOBJZTE12A67020851,2/13/1971,Just My Imagination (Running Away With Me),The Temptations,51,0,1,15,,,,91.951,0,-14.981,277.9424,0.227153853,0.664030871,1,1971
32839,26124,SOBKCGU12B0B8091EB,2/27/1961,Surrender,Elvis Presley,4,0,1,12,,,n/a,109.579,3,-9.964,115.1473,0.676265754,0.441858326,0,1961
3546,63408,SOBKPGS12A8C13C452,6/25/1977,Best Of My Love,The Emotions,50,0,1,23,,,,115.772,0,-10.516,222.22322,0.653591575,0.807027015,1,1977
23619,25089,SOBKVQK12A58A7E592,9/29/1962,Monster Mash,"Bobby ""Boris"" Pickett",4,0,1,14,,,n/a,133.545,2,-17.28,198.71302,0.625927502,0.713981426,1,1962
35362,74984,SOBKXLI12AF72A48E5,12/8/1973,The Way We Were,Barbra Streisand,73,0,1,23,,,,76.004,9,-14.17,195.91791,0.39050661,0.125238327,1,1973
24434,58211,SOBLDOG12AF72A11FA,6/30/1979,My Sharona,The Knack,76,0,1,22,,,,150.165,0,-5.376,312.0322,0.945037105,0.483539915,1,1979
9356,17062,SOBLNDD12AF72A6D9B,8/21/1965,Eve Of Destruction,Barry McGuire,58,0,1,11,,,n/a,116.599,2,-14.2,216.89424,0.542310789,0.558473979,1,1965
35210,132375,SOBLSTL12AB0181644,11/29/1980,The Tide Is High,Blondie,38,0,1,26,,,,106.32,11,-7.494,244.24444,0.378960439,0.577634073,1,1980
14221,70259,SOBMLOX12AB017BFA5,2/16/1974,Hooked On A Feeling,Blue Swede,87,0,1,17,,,,119.198,1,-10.76,174.2624,0.728728403,0.545527937,1,1974
18126,8711,SOBMQVU12A58A78602,10/14/1967,Incense And Peppermints,Strawberry Alarm Clock,34,0,1,16,,,n/a,136.454,4,-9.514,163.73506,0.557726125,0.561194145,1,1967
30518,74654,SOBMXPL12A58920553,10/27/1973,Show And Tell,Al Wilson,95,0,1,22,,,,87.579,2,-10.229,209.13587,0.415474438,0.554092546,1,1973
28589,59189,SOBNWWC12B0B8077F6,11/17/1979,Rock With You,Michael Jackson,59,0,1,24,,,,114.023,8,-12.604,220.57751,0.716250891,0.736898394,0,1979
23589,119293,SOBNXUR12AF72A0770,7/27/1985,Money For Nothing,Dire Straits,58,74,1,22,"M.Knopfler,Sting","M.Knopfler,N.Dorfsman",Warner Bros.,134.195,2,-16.785,496.24771,0.587756379,0.676406621,0,1985
27107,27542,SOBODEH12A8C14195D,9/11/1961,Please Mr. Postman,The Marvelettes,88,0,1,23,,,n/a,121.26,0,-8.476,146.88608,0.658637485,0.762719577,1,1961
38162,42443,SOBOUAA12A58A7A461,6/10/1995,Waterfalls,TLC,39,0,1,34,"Organized Noize,M.Etheridge,L.Lopes",Organized Noize,Arista,171.919,8,-7.364,279.58812,0.528824697,0.72407054,1,1995
40176,75225,SOBPBKD12A8C141E55,1/8/1972,Without You,Nilsson,54,0,1,19,,,,57.63,4,-13.483,200.9073,0.280525362,0.403037651,1,1972
35340,112711,SOBPJPE12A8C1435DF,1/10/1987,The Way It Is,Bruce Hornsby & The Range,7,5,1,22,B.Hornsby,"B.Hornsby,E.Scheiner",RCA,111.08,7,-6.64,237.08689,0.513091194,0.604795758,1,1987
18140,106091,SOBPRBS12A6D4F665C,6/24/2000,Incomplete,Sisqo,77,0,1,17,"M.Jordan,S.Crawford,K.Hudson",S.Crawford,IDJMG,135.046,6,-6.234,347.76771,0.706084266,0.805640865,0,2000
29282,69371,SOBPUTJ12A8AE461ED,10/11/1975,Saturday Night,Bay City Rollers,85,0,1,17,,,,137.617,7,-9.953,175.69914,0.756991583,0.528633231,1,1975
4609,119739,SOBQPSS12A58A7A18F,9/21/1985,Broken Wings,Mr. Mister,84,0,1,22,"R.Page,S.George,J.Lang","P.Devilliers,Mr.Mister",RCA,99.239,6,-14.394,344.00608,0.518701421,0.518511567,0,1985
13030,20944,SOBRAPT12A8C1412A7,2/23/1963,He's So Fine,The Chiffons,87,0,1,15,,,n/a,150.103,7,-8.83,109.60934,0.501987911,0.523681899,1,1963
591,69921,SOBRLJQ12A8C13BCA0,12/27/1975,50 Ways To Leave Your Lover,Paul Simon,50,0,1,17,,,,102.135,5,-17.993,212.06159,0.507867512,0.785266223,1,1975
10017,110291,SOBRROM12A8AE4828A,1/30/1988,Father Figure,George Michael,30,37,1,17,G.Michael,G.Michael,Columbia,102.024,3,-16.545,336.5873,0.319910344,0.700432685,1,1988
3413,67613,SOBRVOR12A58A7D17F,2/8/1975,Before The Next Teardrop Falls,Freddy Fender,92,0,1,21,,,,91.473,10,-12.716,151.61424,0.25141967,0.753633102,1,1975
38552,33513,SOBSAAB12A8AE46253,12/18/1999,What A Girl Wants,Christina Aguilera,18,28,1,24,"S.Peiken,G.Roche",G.Roche,RCA,129.986,11,-6.595,245.68118,0.728389456,0.781334295,0,1999
9458,112154,SOBSAUL12AF72A2779,10/29/1988,Every Rose Has Its Thorn,Poison,60,0,1,21,"B.Dall,C.C.DeVille,B.Michaels,R.Rockett",T.Werman,Capitol,140.25,6,-6.272,258.06322,0.430386889,0.566403666,1,1988
22172,985,SOBSSGS12A8C13D83A,5/17/1969,Love Theme From Romeo & Juliet,Henry Mancini,47,0,1,14,,,n/a,75.082,9,-13.152,152.29342,0.105670894,0.318971634,0,1969
2075,36074,SOBSTDL12AF729F5B1,12/26/1998,Angel Of Mine,Monica,37,51,1,30,"R.Lawrence,T.Potts",R.Jerkins,Arista,90.148,10,-7.03,250.25261,0.34150229,0.600611757,0,1998
40916,117095,SOBSYSK12AF729D503,9/20/1986,You Give Love A Bad Name,Bon Jovi,68,83,1,24,"J.Bon Jovi,R.Sambora,D.Child",B.Fairbairn,PolyGram,110.015,10,-8.724,209.57995,0.480612896,0.7512701,0,1986
7745,19773,SOBTBGC12AF72A95C0,9/5/1964,Do Wah Diddy Diddy,Manfred Mann,58,0,1,13,,,n/a,126.939,4,-7.371,144.27383,0.776875165,0.463689896,1,1964
23609,89235,SOBTWWH12B0B80B384,1/6/2007,Money Maker,Ludacris Featuring Pharrell,15,15,1,20,"C.Bridges,P.L.Williams",The Neptunes,DTP/Def Jam,111.924,1,-7.802,230.66077,0.676342494,0.593500492,1,2007
14622,122454,SOBUFPH12AF729F3A2,12/14/1985,How Will I Know,Whitney Houston,50,60,1,23,"G.Merrill,S.Rubicam,N.M.Walden",Narada,Arista,119.061,5,-10.702,391.57506,0.664624453,0.955965805,0,1985
9264,127410,SOBUNEO12AB0180C90,1/2/1982,Endless Love,"Diana Ross,Lionel Richie",95,0,1,27,,,,93.354,10,-8.991,265.40363,0.26662043,0.397115478,1,1982
7283,73784,SOBUTMR12AF72A2DBF,6/23/1973,Delta Dawn,Helen Reddy,86,0,1,20,,,,157.537,7,-7.725,184.99873,0.533092996,0.424662609,1,1973
